t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
0,0,0,0,0,0,0,0,-1,0,0,0,1.5708,0.368731,0,0,0,0.0034,0.0034,0.006,2,0,5,1.5708
0.1,-0.00667112,0.0062453,1.69661,0.155029,0.166225,0.0944275,0.000172572,-0.999814,0.0848303,0.0077805,0.00828417,1.57555,18.6898,0.00528306,0.00564038,0.00566565,0.0034,0.0034,0.006,1.99901,0.0313953,5.1363,1.57865
0.2,-0.017689,0.0164303,3.39319,0.0423135,0.0466622,0.0973092,0.00246304,-0.997347,0.33931,0.0177822,0.0188026,1.58527,18.6898,-0.00380592,-0.0040896,0.0001729,0.0034,0.0034,0.006,1.99803,0.0627905,5.27259,1.5865
0.3,-0.0101203,0.00760162,5.09012,0.00755972,0.0151853,0.0749607,0.00927765,-0.989946,0.763418,0.0204512,0.0217301,1.59395,18.6898,-0.00117441,-0.00107607,-0.00134091,0.0034,0.0034,0.006,1.99704,0.0941858,5.40889,1.59436
0.4,0.012169,-0.0185891,6.78717,-0.0269831,-0.0165077,0.0526123,0.0213559,-0.976676,1.35715,0.0196183,0.0215354,1.60032,18.6898,-0.00117441,-0.00107607,-0.00134091,0.0034,0.0034,0.006,1.99605,0.125581,5.54519,1.60221
0.5,-0.032225,0.0208404,6.7779,0.207243,0.218558,0.185813,0.0370248,-0.959263,2.03522,0.028965,0.0313358,1.61249,6.77905,0.00799738,0.00796133,0.00799204,0.0034,0.0034,0.006,1.9931,0.156852,5.65996,1.61792
0.6,-0.0892786,0.0725665,6.76798,0.0491783,0.0667349,0.182275,0.0554051,-0.938658,2.71225,0.0425127,0.0449289,1.63141,6.77905,-0.00530559,-0.0052235,-0.00021226,0.0034,0.0034,0.006,1.99014,0.188124,5.77474,1.63363
0.7,-0.0732649,0.0470619,6.75969,0.000413475,0.0258025,0.153008,0.077561,-0.913534,3.38823,0.0457868,0.0488109,1.64838,6.77905,-0.00163711,-0.00140303,-0.00175604,0.0034,0.0034,0.006,1.98719,0.219395,5.88952,1.64934
0.8,-0.0282817,-0.0126474,6.75207,-0.0477999,-0.0157119,0.123741,0.103745,-0.883382,4.06322,0.0440939,0.0486911,1.66224,6.77905,-0.00163711,-0.00140303,-0.00175604,0.0034,0.0034,0.006,1.98423,0.250666,6.0043,1.66504
0.9,-0.220095,0.128759,5.9794,0.666578,0.827567,0.175744,0.132356,-0.85004,4.69922,0.0762328,0.0883126,1.67965,1.47448,0.0244408,0.0285543,0.0031202,0.0034,0.0034,0.006,1.97932,0.281691,6.07944,1.68075
1,-0.403344,0.268562,5.19538,0.163803,0.241411,0.090509,0.162388,-0.814646,5.25723,0.11983,0.140242,1.69827,1.47448,-0.0168667,-0.0201065,-0.0051141,0.0034,0.0034,0.006,1.9744,0.312715,6.15458,1.69646
1.1,-0.331795,0.19659,4.4359,0.0259366,0.0714666,0.125174,0.1945,-0.776104,5.73785,0.131209,0.154404,1.71107,1.47448,-0.00464862,-0.00580136,0.00207988,0.0034,0.0034,0.006,1.96949,0.343739,6.22972,1.71217
1.2,-0.174671,0.0569239,3.68667,-0.110608,-0.0996246,0.159838,0.228879,-0.734019,6.14216,0.129129,0.151155,1.72519,1.47448,-0.00464862,-0.00580136,0.00207988,0.0034,0.0034,0.006,1.96457,0.374763,6.30485,1.72788
1.3,-0.0165858,-0.116421,2.89531,-0.235582,0.0132834,0.188184,0.265242,-0.688731,6.46851,0.114306,0.144762,1.7421,1.19972,-0.00426697,0.00391414,0.00170076,0.0034,0.0034,0.006,1.95772,0.405417,6.32849,1.74358
1.4,0.117395,-0.262077,2.09898,-0.0923245,0.0193718,0.159008,0.303116,-0.640673,6.71477,0.100448,0.144522,1.75972,1.19972,0.00487837,0.000285611,-0.00175058,0.0034,0.0034,0.006,1.95087,0.436071,6.35213,1.75929
1.5,0.252176,-0.371276,1.30278,-0.0401773,-0.00262483,0.142906,0.342235,-0.589871,6.88094,0.0960169,0.143875,1.77498,1.19972,0.00177645,-0.000720872,-0.00096613,0.0034,0.0034,0.006,1.94402,0.466725,6.37577,1.775
1.6,0.387121,-0.470126,0.507092,0.0122115,-0.0239818,0.126804,0.382478,-0.536335,6.96698,0.096528,0.141255,1.78841,1.19972,0.00177645,-0.000720872,-0.00096613,0.0034,0.0034,0.006,1.93717,0.49738,6.3994,1.79071
1.7,0.510149,-0.566005,-0.0380982,-0.659699,-0.716924,0.175131,0.424657,-0.47799,6.98651,0.0656208,0.103113,1.80053,3.20247,-0.0229889,-0.023433,0.00289966,0.0034,0.0034,0.006,1.9284,0.527543,6.36781,1.80642
