t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
0,0,0,0,0,0,0,0,-1,0,0,0,1.5708,0.368731,0,0,0,0.0034,0.0034,0.006,2,0,5,1.5708
0.1,-0.00512429,0.00481193,1.69661,0.11951,0.127626,0.118034,0.00013277,-0.999857,0.0848307,0.00599501,0.00636299,1.57672,18.6898,0.00528306,0.00564038,0.00566565,0.0034,0.0034,0.006,1.99901,0.0313953,5.1363,1.57865
0.2,-0.01993,0.0187113,3.39314,0.0807901,0.086778,0.0814856,0.00194859,-0.997902,0.339314,0.0161275,0.0169726,1.58681,18.6898,-0.00170668,-0.0018099,-0.00175434,0.0034,0.0034,0.006,1.99803,0.0627905,5.27259,1.5865
0.3,-0.0216294,0.0192001,5.08992,0.013648,0.0194992,0.0634441,0.00789152,-0.991456,0.763424,0.0209959,0.0221482,1.59416,18.6898,-0.00296603,-0.00297519,-0.000865992,0.0034,0.0034,0.006,1.99704,0.0941858,5.40889,1.59436
0.4,0.00929193,-0.0137375,6.78699,-0.05345,-0.0478226,0.0454027,0.0191694,-0.979105,1.35716,0.0191245,0.0206201,1.59957,18.6898,-0.00296603,-0.00297519,-0.000865992,0.0034,0.0034,0.006,1.99605,0.125581,5.54519,1.60221
0.5,-0.0127565,0.0036108,6.77783,0.163313,0.175492,0.229217,0.0339862,-0.962737,2.03523,0.0249314,0.0267151,1.61344,6.77974,0.00958253,0.00986898,0.0088231,0.0034,0.0034,0.006,1.9931,0.156852,5.65996,1.61792
0.6,-0.0832579,0.0674673,6.76797,0.116944,0.134723,0.160868,0.0511763,-0.943597,2.71229,0.0396246,0.0415906,1.63345,6.77974,-0.00203518,-0.00181495,-0.00328074,0.0034,0.0034,0.006,1.99014,0.188124,5.77474,1.63363
0.7,-0.0948292,0.0705828,6.75898,0.0160107,0.0371936,0.132958,0.0718963,-0.920247,3.3883,0.0469673,0.0495331,1.64852,6.77974,-0.00445575,-0.00431507,-0.00133972,0.0034,0.0034,0.006,1.98719,0.219395,5.88952,1.64934
0.8,-0.0379457,0.00277677,6.75168,-0.0847863,-0.0604713,0.105047,0.096714,-0.891838,4.06329,0.0441141,0.0478187,1.66037,6.77974,-0.00445575,-0.00431507,-0.00133972,0.0034,0.0034,0.006,1.98423,0.250666,6.0043,1.66504
0.9,-0.174159,0.0987513,5.98138,0.551453,0.679378,0.213555,0.123987,-0.860266,4.69938,0.0684943,0.0778802,1.67803,1.478,0.0281236,0.0326997,0.00520839,0.0034,0.0034,0.006,1.97932,0.281691,6.07944,1.68075
1,-0.392683,0.271974,5.19615,0.377315,0.485766,0.0896842,0.152566,-0.826854,5.25772,0.117088,0.134512,1.69865,1.478,-0.00762253,-0.00861698,-0.0059458,0.0034,0.0034,0.006,1.9744,0.312715,6.15458,1.69646
1.1,-0.388867,0.253678,4.42826,0.0531475,0.115114,0.0686346,0.183198,-0.790384,5.7382,0.140388,0.163274,1.7105,1.478,-0.0143155,-0.016392,-0.00101038,0.0034,0.0034,0.006,1.96949,0.343739,6.22972,1.71217
1.2,-0.202953,0.0800846,3.68421,-0.270685,-0.255822,0.0475851,0.216241,-0.750198,6.14231,0.130303,0.155501,1.71538,1.478,-0.0143155,-0.016392,-0.00101038,0.0034,0.0034,0.006,1.96457,0.374763,6.30485,1.72788
1.3,-0.0194967,-0.0992739,2.89461,-0.114574,0.0171161,0.337779,0.251328,-0.706731,6.46879,0.113598,0.141392,1.73323,1.20281,0.0069156,0.0120415,0.0139293,0.0034,0.0034,0.006,1.95772,0.405417,6.32849,1.74358
1.4,0.0995987,-0.231829,2.10055,-0.0814225,0.117487,0.157948,0.287961,-0.66054,6.71519,0.107432,0.145339,1.75886,1.20281,0.00147853,0.00445669,-0.00863185,0.0034,0.0034,0.006,1.95087,0.436071,6.35213,1.75929
1.5,0.227584,-0.34525,1.30792,-0.0224984,0.0417109,0.104626,0.325952,-0.611564,6.8816,0.10432,0.15187,1.77291,1.20281,0.00261115,-0.00334493,-0.00255949,0.0034,0.0034,0.006,1.94402,0.466725,6.37577,1.775
1.6,0.372448,-0.448755,0.516268,0.036569,-0.0339585,0.0513029,0.36519,-0.559696,6.96815,0.106218,0.15144,1.7808,1.20281,0.00261115,-0.00334493,-0.00255949,0.0034,0.0034,0.006,1.93717,0.49738,6.3994,1.79071
1.7,0.506297,-0.556237,-0.0202716,-0.524194,-0.594116,0.271659,0.406658,-0.502653,6.98839,0.0836221,0.118622,1.79398,3.19184,-0.0247827,-0.0247604,0.0105771,0.0034,0.0034,0.006,1.9284,0.527543,6.36781,1.80642
1.8,0.566673,-0.616565,-0.591031,-0.398843,-0.365849,0.268909,0.450586,-0.439591,6.95425,0.0396704,0.0690789,1.81807,3.19184,0.00549075,0.0101373,-0.000132014,0.0034,0.0034,0.006,1.91964,0.557707,6.33621,1.82212
1.9,0.592071,-0.632221,-1.14067,-0.0943902,-0.0647679,0.104447,0.495559,-0.372911,6.86582,0.0160489,0.0470397,1.83615,3.19184,0.0134266,0.0133422,-0.00789417,0.0034,0.0034,0.006,1.91088,0.58787,6.30461,1.83783
2,0.651885,-0.659031,-1.65384,0.209277,0.237147,-0.0600149,0.540761,-0.303824,6.72472,0.0219012,0.0556251,1.83853,3.19184,0.0134266,0.0133422,-0.00789417,0.0034,0.0034,0.006,1.90211,0.618034,6.27302,1.85354
2.1,0.692162,-0.690097,-1.83244,-0.237293,-0.312278,0.335686,0.586397,-0.23097,6.54932,0.0212902,0.0515207,1.85224,5.61314,-0.019743,-0.0242798,0.0189936,0.0034,0.0034,0.006,1.89147,0.647588,6.19117,1.86925
2.2,0.654697,-0.672608,-2.04378,-0.238525,-0.250395,0.220638,0.632426,-0.153868,6.3548,-0.00145989,0.0230866,1.87978,5.61314,-9.35879e-05,0.00276811,-0.0055223,0.0034,0.0034,0.006,1.88083,0.677142,6.10933,1.88496
2.3,0.623766,-0.642329,-2.24013,-0.0557621,-0.061788,0.122345,0.677816,-0.0749346,6.14107,-0.0159192,0.00763666,1.89707,5.61314,0.00806298,0.00835071,-0.00471805,0.0034,0.0034,0.006,1.87019,0.706695,6.02749,1.90066
2.4,0.634596,-0.640073,-2.41248,0.12663,0.127174,0.0240523,0.721873,0.00432814,5.90927,-0.0123203,0.0110213,1.90434,5.61314,0.00806298,0.00835071,-0.00471805,0.0034,0.0034,0.006,1.85955,0.736249,5.94565,1.91637
2.5,0.637403,-0.643562,-2.35931,-0.103087,-0.127712,0.291333,0.76454,0.0841828,5.67158,-0.0109346,0.0111444,1.92011,7.21238,-0.0101557,-0.0112639,0.0128295,0.0034,0.0034,0.006,1.84708,0.765076,5.82648,1.93208
2.6,0.598426,-0.618368,-2.32104,-0.10494,-0.118214,0.188581,0.805693,0.164598,5.43859,-0.0212014,-0.000775292,1.9443,7.21238,-9.63116e-05,0.000431954,-0.00493208,0.0034,0.0034,0.006,1.8346,0.793904,5.70732,1.94779
2.7,0.566078,-0.588424,-2.27675,-0.0235209,-0.0338511,0.137911,0.844856,0.244189,5.2102,-0.0277036,-0.0079703,1.9608,7.21238,0.0035929,0.00373378,-0.00243216,0.0034,0.0034,0.006,1.82213,0.822731,5.58815,1.9635
2.8,0.553475,-0.57148,-2.22262,0.057759,0.0506422,0.0872406,0.881721,0.322023,4.98683,-0.0260822,-0.00682075,1.97204,7.21238,0.0035929,0.00373378,-0.00243216,0.0034,0.0034,0.006,1.80965,0.851559,5.46898,1.9792
2.9,0.54027,-0.558662,-2.069,-0.033909,-0.0389573,0.233699,0.916275,0.398078,4.7738,-0.0249788,-0.00584043,1.98806,7.91032,-0.00405199,-0.00396018,0.00703,0.0034,0.0034,0.006,1.79539,0.879546,5.33131,1.99491
3,0.513395,-0.536257,-1.92041,-0.0353858,-0.0436897,0.174463,0.948488,0.472321,4.57587,-0.0285973,-0.00942687,2.00858,7.91032,-6.90523e-05,-0.000205998,-0.00284332,0.0034,0.0034,0.006,1.78113,0.907533,5.19363,2.01062
3.1,0.488761,-0.510927,-1.77024,-0.00747401,-0.0155786,0.14774,0.978225,0.544239,4.39297,-0.0309158,-0.0119068,2.02477,7.91032,0.00123167,0.00124398,-0.00128273,0.0034,0.0034,0.006,1.76687,0.93552,5.05595,2.02633
3.2,0.469983,-0.48811,-1.61718,0.0203944,0.0125737,0.121016,1.00542,0.613444,4.2252,-0.0304308,-0.0116419,2.0382,7.91032,0.00123167,0.00124398,-0.00128273,0.0034,0.0034,0.006,1.75261,0.963507,4.91828,2.04204
3.3,0.452585,-0.467899,-1.44233,0.00142262,3.5827e-05,0.196992,1.0301,0.679902,4.07373,-0.029514,-0.0105383,2.05408,8.05867,-0.000838314,-0.000554591,0.00364685,0.0034,0.0034,0.006,1.73662,0.990544,4.78382,2.05774
3.4,0.433533,-0.446906,-1.26849,-0.00207878,-0.00781261,0.167457,1.05233,0.743685,3.9396,-0.0297363,-0.0103877,2.07231,8.05867,-0.000155051,-0.000346879,-0.00141771,0.0034,0.0034,0.006,1.72063,1.01758,4.64937,2.07345
3.5,0.415406,-0.424263,-1.09481,4.68518e-05,-0.0063345,0.152734,1.07213,0.804765,3.82279,-0.0300063,-0.0106163,2.08833,8.05867,9.34971e-05,6.53987e-05,-0.000706706,0.0034,0.0034,0.006,1.70465,1.04462,4.51492,2.08916
3.6,0.398357,-0.400817,-0.920957,0.00216962,-0.00485344,0.138011,1.08953,0.863068,3.72329,-0.0300509,-0.0107388,2.10288,8.05867,9.34971e-05,6.53987e-05,-0.000706706,0.0034,0.0034,0.006,1.68866,1.07165,4.38047,2.10487
3.7,0.382391,-0.378652,-0.756379,0.0188449,0.0149592,0.177413,1.10457,0.918569,3.6406,-0.0291638,-0.00976515,2.11863,7.98854,0.000737329,0.000875167,0.00189133,0.0034,0.0034,0.006,1.671,1.09763,4.27047,2.12058
3.8,0.36814,-0.358304,-0.591438,0.0135746,0.00733021,0.16356,1.11735,0.971387,3.57429,-0.0276945,-0.00816696,2.13564,7.98854,-0.000232188,-0.000338308,-0.000664973,0.0034,0.0034,0.006,1.65334,1.12361,4.16047,2.13628
3.9,0.355153,-0.337784,-0.427161,0.00336208,-0.00199321,0.155076,1.12795,1.02171,3.52433,-0.026971,-0.00746596,2.15156,7.98854,-0.000451223,-0.000412627,-0.000407207,0.0034,0.0034,0.006,1.63569,1.14959,4.05048,2.15199
4,0.342626,-0.316489,-0.263571,-0.0068377,-0.0113309,0.146593,1.13644,1.06961,3.4907,-0.0272583,-0.00772417,2.16666,7.98854,-0.000451223,-0.000412627,-0.000407207,0.0034,0.0034,0.006,1.61803,1.17557,3.94048,2.1677
4.1,0.330402,-0.295328,-0.116725,0.0262708,0.0178679,0.167603,1.14286,1.11506,3.47251,-0.0264054,-0.00697215,2.18235,7.86687,0.00146359,0.00129003,0.00100851,0.0034,0.0034,0.006,1.59878,1.20039,3.8723,2.18341
4.2,0.319919,-0.276016,0.0308087,0.0202405,0.0115878,0.161154,1.1473,1.15818,3.46894,-0.0241779,-0.00508472,2.19875,7.86687,-0.000265594,-0.000279067,-0.000309578,0.0034,0.0034,0.006,1.57953,1.22521,3.80412,2.19911
4.3,0.311212,-0.257895,0.177662,0.00460842,-0.000233839,0.156121,1.14987,1.19922,3.47999,-0.0230072,-0.00414475,2.21459,7.86687,-0.000690588,-0.000523284,-0.000241565,0.0034,0.0034,0.006,1.56028,1.25003,3.73594,2.21482
4.4,0.303459,-0.240086,0.323725,-0.0110075,-0.0120771,0.151089,1.15063,1.23831,3.50563,-0.0233915,-0.00440566,2.22996,7.86687,-0.000690588,-0.000523284,-0.000241565,0.0034,0.0034,0.006,1.54103,1.27485,3.66776,2.23053
4.5,0.29546,-0.221538,0.449353,0.0272708,0.0149964,0.162751,1.14964,1.27542,3.5448,-0.0226466,-0.00389403,2.24565,7.72077,0.00169199,0.00119617,0.000559773,0.0034,0.0034,0.006,1.52025,1.29841,3.65216,2.24624
