t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
0,0,0,0,0,0,0,0,-1,0,0,0,1.5708,0.368731,0,0,0,0.0034,0.0034,0.006,2,0,5,1.5708
0.1,-0.00512429,0.00481193,1.69661,0.11951,0.127626,0.118034,0.00013277,-0.999857,0.0848307,0.00599501,0.00636299,1.57672,18.6898,0.00528306,0.00564038,0.00566565,0.0034,0.0034,0.006,1.99901,0.0313953,5.1363,1.57865
0.2,-0.0185792,0.0173211,3.39316,0.0696759,0.0759669,0.0866968,0.00193634,-0.997914,0.339314,0.0155735,0.0164305,1.58706,18.6898,-0.00219814,-0.00228753,-0.0015042,0.00438974,0.00444641,0.00480008,1.99803,0.0627905,5.27259,1.5865
0.3,-0.018034,0.0155047,5.08996,0.00889698,0.0147093,0.0616953,0.00771477,-0.991632,0.763429,0.0196442,0.0208305,1.59456,18.6898,-0.00268493,-0.0027089,-0.00120007,0.00439375,0.00444301,0.00480014,1.99704,0.0941858,5.40889,1.59436
0.4,0.0124176,-0.0168349,6.78696,-0.0518409,-0.0465878,0.0366938,0.0184863,-0.97979,1.35717,0.0175974,0.0191425,1.59945,18.6898,-0.00268493,-0.0027089,-0.00120007,0.00439829,0.00443938,0.00480014,1.99605,0.125581,5.54519,1.60221
0.5,-0.0270425,0.0182691,6.77775,0.211878,0.22411,0.21059,0.0325473,-0.964186,2.03526,0.0258802,0.0277623,1.61201,6.78007,0.0116581,0.0119632,0.00834702,0.00440163,0.00443663,0.00480015,1.9931,0.156852,5.65996,1.61792
0.6,-0.103227,0.0879173,6.76739,0.0903715,0.110725,0.180453,0.0490628,-0.945719,2.71232,0.0417258,0.0438202,1.63213,6.78007,-0.00535675,-0.00502414,-0.00144657,0.00441394,0.00442604,0.00479941,1.99014,0.188124,5.77474,1.63363
0.7,-0.0976149,0.0726275,6.75881,-0.0103872,0.0141324,0.140528,0.0692754,-0.922848,3.38832,0.0464948,0.0493387,1.64846,6.78007,-0.00444896,-0.00427237,-0.00191641,0.00441415,0.0044259,0.00479943,1.98719,0.219395,5.88952,1.64934
0.8,-0.0268271,-0.0112327,6.75161,-0.111002,-0.0826018,0.100603,0.0935423,-0.894941,4.06333,0.040999,0.0453799,1.66037,6.78007,-0.00444896,-0.00427237,-0.00191641,0.00441434,0.00442573,0.00479945,1.98423,0.250666,6.0043,1.66504
0.9,-0.20455,0.125256,5.97995,0.704051,0.833657,0.202994,0.120139,-0.863979,4.69945,0.0716806,0.0820928,1.67765,1.47923,0.0360272,0.0404968,0.00491477,0.00441464,0.00442547,0.00479948,1.97932,0.281691,6.07944,1.68075
1,-0.434642,0.312451,5.19047,0.291462,0.397612,0.0945577,0.148102,-0.831085,5.25757,0.123804,0.141909,1.69862,1.47923,-0.0181629,-0.0193328,-0.00520494,0.00441805,0.0044217,0.00479842,1.9744,0.312715,6.15458,1.69646
1.1,-0.385924,0.255307,4.4283,-0.0136313,0.031197,0.0867514,0.178221,-0.79499,5.73793,0.139529,0.161953,1.71057,1.47923,-0.0134768,-0.016201,-0.000374699,0.00441685,0.00442262,0.00479876,1.96949,0.343739,6.22972,1.71217
1.2,-0.171828,0.0624695,3.68607,-0.318416,-0.335472,0.0789452,0.210742,-0.755203,6.1422,0.123915,0.145761,1.71687,1.47923,-0.0134768,-0.016201,-0.000374699,0.00441692,0.00442252,0.00479876,1.96457,0.374763,6.30485,1.72788
1.3,-0.00914665,-0.101646,2.89393,0.000157025,0.174079,0.298606,0.24522,-0.712305,6.46881,0.110415,0.135631,1.73482,1.20122,0.01409,0.022509,0.0105437,0.00441702,0.0044224,0.00479877,1.95772,0.405417,6.32849,1.74358
1.4,0.0863728,-0.215409,2.10119,-0.0414653,0.146895,0.158842,0.281206,-0.66678,6.71524,0.111847,0.149035,1.75958,1.20122,-0.00181182,-0.00119813,-0.00670863,0.00441766,0.00442159,0.00479931,1.95087,0.436071,6.35213,1.75929
1.5,0.219883,-0.331819,1.30934,-0.0424431,-0.0157507,0.107523,0.318601,-0.618414,6.8817,0.109797,0.154076,1.77371,1.20122,-3.75855e-05,-0.0071855,-0.00246332,0.00441764,0.00442159,0.00479941,1.94402,0.466725,6.37577,1.775
1.6,0.371225,-0.442909,0.512417,-0.0431625,-0.178379,0.0562042,0.357319,-0.567119,6.96813,0.106594,0.14354,1.78089,1.20122,-3.75855e-05,-0.0071855,-0.00246332,0.00441764,0.00442156,0.00479942,1.93717,0.49738,6.3994,1.79071
1.7,0.495138,-0.548799,-0.0308772,-0.574559,-0.579968,0.26593,0.398303,-0.510935,6.98782,0.0772417,0.104298,1.79347,3.19679,-0.0234837,-0.0177522,0.0100668,0.00441764,0.00442153,0.00479943,1.9284,0.527543,6.36781,1.80642
1.8,0.547517,-0.603786,-0.594886,-0.28559,-0.222363,0.268885,0.441637,-0.449355,6.95323,0.0361942,0.062793,1.81795,3.19679,0.0127322,0.0158493,0.000141839,0.00441748,0.00442174,0.00479942,1.91964,0.557707,6.33621,1.82212
1.9,0.579065,-0.628112,-1.1329,-0.0347203,-0.0286095,0.119936,0.485953,-0.384461,6.86502,0.0212422,0.049704,1.83705,3.19679,0.0110712,0.00858589,-0.00714954,0.00441726,0.0044219,0.00479942,1.91088,0.58787,6.30461,1.83783
2,0.636983,-0.667811,-1.64416,0.215666,0.165765,-0.0290126,0.530683,-0.31702,6.72442,0.0305266,0.05646,1.84178,3.19679,0.0110712,0.00858589,-0.00714954,0.00441713,0.00442206,0.00479949,1.90211,0.618034,6.27302,1.85354
2.1,0.664047,-0.693418,-1.83192,-0.361093,-0.378023,0.265213,0.576316,-0.245688,6.54914,0.0238703,0.045489,1.8533,5.60778,-0.0254937,-0.0240329,0.0141228,0.0044172,0.00442207,0.00479956,1.89147,0.647588,6.19117,1.86925
2.2,0.623152,-0.664816,-2.04565,-0.197156,-0.169878,0.246759,0.622665,-0.170464,6.35445,-0.00327956,0.0178586,1.87861,5.60778,0.00721783,0.00922872,-0.000885794,0.00441755,0.00442187,0.00479962,1.88083,0.677142,6.10933,1.88496
2.3,0.604138,-0.647177,-2.23469,0.00680022,-0.0037082,0.139843,0.668413,-0.0937981,6.14087,-0.0125489,0.009352,1.89801,5.60778,0.00900526,0.00735528,-0.005132,0.00441748,0.00442192,0.00479962,1.87019,0.706695,6.02749,1.90066
2.4,0.628962,-0.669325,-2.40012,0.210438,0.162841,0.0329259,0.713059,-0.0165959,5.90951,-0.00158972,0.0173922,1.9066,5.60778,0.00900526,0.00735528,-0.005132,0.00441743,0.00442199,0.00479964,1.85955,0.736249,5.94565,1.91637
2.5,0.633296,-0.67746,-2.35099,-0.231935,-0.207894,0.244275,0.757019,0.062013,5.67228,-0.00240082,0.0151181,1.92046,7.20416,-0.0195554,-0.0163835,0.0101448,0.00441747,0.00442198,0.00479966,1.84708,0.765076,5.82648,1.93208
2.6,0.588287,-0.638099,-2.32098,-0.12241,-0.10383,0.211389,0.800114,0.141844,5.43936,-0.0199612,-0.000199232,1.94341,7.20416,0.00482613,0.00461655,-0.00157855,0.00441759,0.00442197,0.00479969,1.8346,0.793904,5.70732,1.94779
2.7,0.561668,-0.612619,-2.27596,0.0151468,-0.000729914,0.146174,0.841367,0.221026,5.21094,-0.025382,-0.00500552,1.96141,7.20416,0.00607538,0.00456181,-0.00313032,0.00441757,0.00442199,0.00479969,1.82213,0.822731,5.58815,1.9635
2.8,0.563008,-0.615818,-2.21661,0.152535,0.102585,0.0809589,0.88047,0.298861,4.98762,-0.0170356,0.000343395,1.97265,7.20416,0.00607538,0.00456181,-0.00313032,0.00441756,0.00442201,0.0047997,1.80965,0.851559,5.46898,1.9792
2.9,0.55591,-0.611346,-2.06439,-0.144423,-0.105009,0.215812,0.917827,0.375953,4.77472,-0.0165997,0.000435855,1.98749,7.90755,-0.0131264,-0.0091745,0.00647296,0.00441757,0.00442201,0.0047997,1.79539,0.879546,5.33131,1.99491
3,0.523872,-0.578195,-1.92314,-0.0738448,-0.0574119,0.189263,0.953376,0.452217,4.57668,-0.0275882,-0.00722781,2.00792,7.90755,0.00311273,0.00211296,-0.00127437,0.00441762,0.00442203,0.00479972,1.78113,0.907533,5.19363,2.01062
3.1,0.499984,-0.551754,-1.77405,0.0124612,-0.00192709,0.150284,0.986488,0.52649,4.39352,-0.0308077,-0.00968798,2.02498,7.90755,0.00381247,0.0024548,-0.00187097,0.00441762,0.00442203,0.00479972,1.76687,0.93552,5.05595,2.02633
3.2,0.48869,-0.539265,-1.61743,0.0986831,0.0536832,0.111306,1.017,0.59833,4.22553,-0.0253635,-0.00672345,2.03798,7.90755,0.00381247,0.0024548,-0.00187097,0.00441762,0.00442204,0.00479972,1.75261,0.963507,4.91828,2.04204
3.3,0.47607,-0.52535,-1.44244,-0.0796775,-0.0437032,0.193512,1.04523,0.668141,4.07395,-0.024497,-0.00586673,2.05321,8.06137,-0.0078836,-0.00430438,0.00394592,0.00441762,0.00442204,0.00479972,1.73662,0.990544,4.78382,2.05774
3.4,0.454347,-0.498402,-1.27284,-0.0403287,-0.0274916,0.176656,1.07123,0.735975,3.93964,-0.0306366,-0.00891044,2.07181,8.06137,0.00173656,0.000721035,-0.000809096,0.00441764,0.00442205,0.00479973,1.72063,1.01758,4.64937,2.07345
3.5,0.435057,-0.472479,-1.09984,0.00861359,-0.00314617,0.153189,1.09466,0.801244,3.82258,-0.0323808,-0.00991626,2.08834,8.06137,0.00216219,0.00107719,-0.00112642,0.00441764,0.00442205,0.00479973,1.70465,1.04462,4.51492,2.08916
3.6,0.420151,-0.451194,-0.923491,0.0575201,0.0212681,0.129722,1.11542,0.863712,3.72288,-0.0292073,-0.00856912,2.10245,8.06137,0.00216219,0.00107719,-0.00112642,0.00441764,0.00442206,0.00479973,1.68866,1.07165,4.38047,2.10487
3.7,0.406303,-0.431482,-0.758134,-0.0307525,-0.00807404,0.17859,1.13378,0.923616,3.6401,-0.0279886,-0.00748001,2.11784,7.99254,-0.00390138,-0.00129741,0.00234568,0.00441764,0.00442206,0.00479973,1.671,1.09763,4.27047,2.12058
3.8,0.390912,-0.408032,-0.594947,-0.0160358,-0.00911292,0.169493,1.14983,0.981092,3.5737,-0.0304612,-0.00782868,2.13526,7.99254,0.000649892,-4.43162e-05,-0.000436656,0.00441765,0.00442206,0.00479973,1.65334,1.12361,4.16047,2.13628
3.9,0.37636,-0.383582,-0.430842,0.00547079,-0.00371454,0.15506,1.16342,1.03596,3.52365,-0.0311183,-0.00796761,2.1515,7.99254,0.000950169,0.000238962,-0.000692807,0.00441765,0.00442206,0.00479973,1.63569,1.14959,4.05048,2.15199
4,0.363139,-0.359624,-0.26573,0.0269692,0.00171349,0.140626,1.17454,1.08812,3.48997,-0.029612,-0.00761613,2.16629,7.99254,0.000950169,0.000238962,-0.000692807,0.00441765,0.00442206,0.00479973,1.61803,1.17557,3.94048,2.1677
4.1,0.350817,-0.33734,-0.1181,0.00452867,0.0103454,0.169377,1.18336,1.13768,3.47179,-0.0281477,-0.00656892,2.18176,7.86949,-0.000991552,0.00038073,0.00138001,0.00441765,0.00442206,0.00479973,1.59878,1.20039,3.8723,2.18341
4.2,0.339532,-0.315639,0.0290279,0.00123287,0.000999953,0.165224,1.19,1.18481,3.46826,-0.0279596,-0.00553298,2.19847,7.86949,-0.000145307,-0.000413253,-0.000199324,0.00441765,0.00442206,0.00479973,1.57953,1.22521,3.80412,2.19911
4.3,0.329422,-0.293612,0.175878,0.0030743,-0.00370667,0.15613,1.19446,1.22958,3.47935,-0.02783,-0.00521987,2.21454,7.86949,8.13068e-05,-0.000208168,-0.000436531,0.00441765,0.00442206,0.00479973,1.56028,1.25003,3.73594,2.21482
